Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
36968099;Habitación grande Pintor Rosales Templo DEBOD;112271726;Casa de Campo;Private room;30;10;0;;;31;1;2020-07-17;Madrid;Spain;40.429950739175865, -3.727388447436797;Spain, Madrid, Casa de Campo
37055144;Private Room for Solo Traveler in Sol;189058637;Embajadores;Private room;20;3;2;2019-08-29;0.18;26;0;2020-07-17;Madrid;Spain;40.413597625123046, -3.704849435142117;Spain, Madrid, Embajadores
37101518;MODERN and REFURBISHED - 1BD 1BTH - CHAMBERI;124381557;Rios Rosas;Entire home/apt;116;2;19;2020-06-15;1.75;5;358;2020-07-17;Madrid;Spain;40.44182782356023, -3.697797870336425;Spain, Madrid, Rios Rosas
37108201;Iriarte III;102947901;Guindalera;Entire home/apt;60;1;1;2020-01-11;0.16;226;365;2020-07-17;Madrid;Spain;40.438406301820784, -3.672598351554483;Spain, Madrid, Guindalera
37171358;Single room in Madrid center (La Latina);15177929;Palacio;Private room;25;1;33;2020-03-03;2.89;2;44;2020-07-17;Madrid;Spain;40.41083864378792, -3.7121305487203067;Spain, Madrid, Palacio
37236688;YOUR IDEAL SPOT IN MADRID | CITY CENTRE - WIFI;280344284;Justicia;Entire home/apt;50;7;19;2020-03-16;1.64;1;223;2020-07-17;Madrid;Spain;40.4214912096355, -3.698015731923035;Spain, Madrid, Justicia
37252974;Encantador y bohemio apartamento en Lavapies;97650515;Cortes;Entire home/apt;85;6;0;;;2;365;2020-07-17;Madrid;Spain;40.4138010465128, -3.6972371112961473;Spain, Madrid, Cortes
37253602;beautiful double room with wifi and terrace;280466577;Comillas;Private room;23;1;0;;;1;0;2020-07-17;Madrid;Spain;40.393223486656794, -3.7088243084356587;Spain, Madrid, Comillas
37284509;Incredible three bedrooms attic with huge terrace;151896696;Embajadores;Entire home/apt;220;3;5;2020-03-01;0.51;1;365;2020-07-17;Madrid;Spain;40.41023357427445, -3.6980082093632745;Spain, Madrid, Embajadores
37384531;Hospédate en Tambo. Gran Vía-Plaza de España.;281697622;Universidad;Private room;46;3;21;2020-03-07;2.04;1;0;2020-07-17;Madrid;Spain;40.42362048348575, -3.7103527656548465;Spain, Madrid, Universidad
37564265;Habitación doble 16 minutos Sol. Metro/Cercanías.;283755032;San Andrés;Private room;18;1;0;;;3;0;2020-07-17;Madrid;Spain;40.34218753490209, -3.70793452628446;Spain, Madrid, San Andrés
37565647;Almortas 15bis;115093485;Valdeacederas;Entire home/apt;60;1;1;2019-09-10;0.1;1;1;2020-07-17;Madrid;Spain;40.46556251140269, -3.704615074214827;Spain, Madrid, Valdeacederas
37659638;Magnífica habitación en el mejor barrio de Madrid;274488505;Castellana;Private room;27;1;2;2019-08-18;0.18;2;0;2020-07-17;Madrid;Spain;40.433164539835694, -3.6847288027444898;Spain, Madrid, Castellana
37675893;Ático dúplex cerca del centro de Madrid;206127384;Opañel;Entire home/apt;62;2;24;2020-03-13;3.38;1;0;2020-07-17;Madrid;Spain;40.39254120582205, -3.7247423773979746;Spain, Madrid, Opañel
37777339;Madrid Room 2;285728650;Palacio;Private room;34;2;19;2020-07-03;1.85;2;150;2020-07-17;Madrid;Spain;40.40775221349521, -3.7143425551620726;Spain, Madrid, Palacio
37852607;Moderno apartamento cerca Aeropuerto e IFEMA;23441165;Canillas;Entire home/apt;68;3;24;2020-03-20;2.29;26;358;2020-07-17;Madrid;Spain;40.46568629472838, -3.648547121266645;Spain, Madrid, Canillas
37874214;Madrid apartamento ideal a 5 minutos de Moncloa;91094403;Fuentelareina;Entire home/apt;100;11;0;;;3;88;2020-07-17;Madrid;Spain;40.48213575506618, -3.738729943468347;Spain, Madrid, Fuentelareina
37956736;Espacioso apartamento al lado de Sol y Plaza Mayor;30035937;Sol;Entire home/apt;140;2;5;2019-11-03;0.51;3;0;2020-07-17;Madrid;Spain;40.41731086127794, -3.7074439473321004;Spain, Madrid, Sol
37961903;Casa Iluminada;287794791;Chopera;Private room;25;1;12;2020-01-26;1.17;1;28;2020-07-17;Madrid;Spain;40.39912820199785, -3.6973889227871113;Spain, Madrid, Chopera
37964958;Room near Airport,IFEMA,Wanda,Muñoza,Senasa;235843854;Rejas;Private room;31;1;24;2020-02-26;2.31;3;91;2020-07-17;Madrid;Spain;40.44750951114826, -3.595189666086921;Spain, Madrid, Rejas
38111545;Bright studio apartment for rent near Olof Palme Park in Usera RUHB4;206349691;Pradolongo;Entire home/apt;1162;1;0;;;146;173;2020-07-17;Madrid;Spain;40.38457905134662, -3.7105433467132025;Spain, Madrid, Pradolongo
38148303;Buhardilla de 60m2 en La Piovera (cerca del Ifema);265160844;Palomas;Private room;33;7;9;2020-03-02;0.84;1;350;2020-07-17;Madrid;Spain;40.45314187744667, -3.613037236780665;Spain, Madrid, Palomas
38180979;Cozy apartment  Madrid WI-FI;5748278;Puerta del Angel;Entire home/apt;50;3;13;2020-07-03;1.23;1;8;2020-07-17;Madrid;Spain;40.41096695743333, -3.7317033884921083;Spain, Madrid, Puerta del Angel
38202679;Studio w/Balcony in Sanchinarro, 7mins to train;288017043;Valdefuentes;Entire home/apt;48;2;11;2020-04-25;1.17;1;176;2020-07-17;Madrid;Spain;40.48728624335653, -3.6654196506838814;Spain, Madrid, Valdefuentes
38224574;Apartamento Grande de 4 habitaciones Centro Madrid;69566471;Rios Rosas;Entire home/apt;125;3;0;;;23;365;2020-07-17;Madrid;Spain;40.442290017913486, -3.6969808100644297;Spain, Madrid, Rios Rosas
38292651;Amazing bright flat with panoramic views of Madrid;44327293;Guindalera;Entire home/apt;89;2;3;2020-01-01;0.32;1;60;2020-07-17;Madrid;Spain;40.43695756163265, -3.6764564396622603;Spain, Madrid, Guindalera
38314214;Preciosa y céntrica habitación;278491498;Justicia;Private room;25;2;13;2020-03-06;1.49;5;1;2020-07-17;Madrid;Spain;40.4245367938423, -3.701031927555025;Spain, Madrid, Justicia
38321903;Estudio Centrico a pasos de Pta. Sol/ WIFI;20076123;Sol;Entire home/apt;58;2;18;2020-03-01;1.74;3;1;2020-07-17;Madrid;Spain;40.41465309972416, -3.7025613843567946;Spain, Madrid, Sol
38351407;Apartamento-Estudio abuhardillado  Santa Juliana;218234159;Bellas Vistas;Entire home/apt;60;3;4;2020-03-27;0.41;9;180;2020-07-17;Madrid;Spain;40.4535585418832, -3.70371379414205;Spain, Madrid, Bellas Vistas
